"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,28,"BOL","Bolivia",1,"Chuquisaca","BO.CQ",NA,"","Departamento","Department","",""
2,28,"BOL","Bolivia",2,"Cochabamba","BO.CB",NA,"","Departamento","Department","",""
3,28,"BOL","Bolivia",3,"El Beni","BO.EB",NA,"","Departamento","Department","",""
4,28,"BOL","Bolivia",4,"La Paz","BO.LP",NA,"","Departamento","Department","",""
5,28,"BOL","Bolivia",5,"Oruro","BO.OR",NA,"","Departamento","Department","",""
6,28,"BOL","Bolivia",6,"Pando","BO.PA",NA,"","Departamento","Department","","colonial territories|madre de dios|territorio nacional de colonias"
7,28,"BOL","Bolivia",7,"Potosí","BO.PO",NA,"","Departamento","Department","",""
8,28,"BOL","Bolivia",8,"Santa Cruz","BO.SC",NA,"","Departamento","Department","",""
9,28,"BOL","Bolivia",9,"Tarija","BO.TR",NA,"","Departamento","Department","",""
